ProdID,Discontinued,ProductID,ProductName,SupplierID,SupplierID2,CategoryID,UM,QuantityPerUnit,QUM,ChargeConvertInd,ReorderLevel,ReorderInd,ReOrderDate,Qty_OnHand,Qty_Commit,Qty_OnOrder,Transport_Time,TaxableItem,EffBegDte,EffEndDte,UPC,PPic,uc,uc_date,updated,created,Notes
42,FALSE,20205,Green Onion - Iced,HAUHAU,FCBLOX,V,LB,CS,48,,0,P,1/26/2013,32032,93446,7210,0,0,1/1/1990,,,,$0.23 ,8/11/2004,11/4/2016,11/23/1999,
43,FALSE,10101,Bokchoy (carton),CHOFAR,SASFAR,AV,LB,CS,30,,,P,4/26/2016,6519,-283,1081,0,0,1/1/1990,,,,$0.62 ,9/19/2015,9/11/2014,11/23/1999,
44,FALSE,10105,Bitter Melon (fuqua),FSI,PACRIM,AV,LB,CS,30,,0,P,11/2/2016,32639,-936,,0,0,1/1/1990,,,,$1.25 ,12/29/2015,10/8/2016,11/23/1999,
45,FALSE,10110,Choysum,PACRIM,HAUHAU,AV,LB,LB,1,,0,P,11/5/2016,15095,-639,-13546,0,0,1/1/1990,,,,$0.03 ,12/11/2003,10/8/2016,11/23/1999,
47,FALSE,30150,Parsley,COABRO,PACRIM,L,BU,CS,60,,0,P,11/3/2016,-893,-946,-2592,0,0,1/1/1990,,,,$0.32 ,9/1/2006,4/15/2011,11/23/1999,
48,FALSE,30140,Green Leaf Lettuce,FCBLOX,COABRO,L,HD,CS,24,,0,P,11/5/2016,-665645,-16584,380687,0,0,1/1/1990,,,,$0.56 ,7/12/2016,4/15/2011,11/23/1999,
50,FALSE,10115,Chinese Okra (singqua),FSI,PACRIM,AV,LB,LB,1,,0,P,11/3/2016,-440,-143,545,0,0,1/1/1990,,,,$1.25 ,11/21/2014,10/8/2016,11/23/1999,
51,FALSE,10119,Red Chili Pepper,ASIDIS,FSI,P,LB,CS,30,,0,P,8/24/2016,816,106,1693,0,0,1/1/1990,,,,$4.20 ,9/2/2003,2/21/2013,11/23/1999,
52,FALSE,10120,Thai Chili Pepper,HAUHAU,FSI,P,LB,LB,1,,0,P,11/3/2016,-21600,-621,,0,0,1/1/1990,,,,$2.40 ,3/9/2016,1/27/2015,11/23/1999,
53,FALSE,10121,Daikon,FSI,FOOCON,AV,LB,CS,40,,0,P,11/3/2016,-547313,-5342,312905,0,0,1/1/1990,,,,$0.70 ,4/4/2016,8/8/2011,11/23/1999,
54,FALSE,10122,Daikon 20#,COABRO,SASFAR,SVF,LB,CS,20,,0,P,8/29/2012,2361,3328,159,0,0,1/1/1990,,,,$0.48 ,11/15/2003,8/17/2015,11/23/1999,
55,FALSE,10123,Daikon W/tops,JAPCAL,FSI,SVF,LB,CS,45,,0,P,,-5,0,0,0,0,1/1/1990,,,,$0.65 ,,7/5/2016,11/23/1999,
56,FALSE,10124,Daikon Tops,BROGAR,,SVF,BU,CS,12,,0,P,,0,0,1,0,0,1/1/1990,,,,,,4/15/2011,11/23/1999,
57,FALSE,10125,Fuzzy Squash (moqua),FSI,PACRIM,AV,LB,CS,40,,0,P,5/2/2016,32725,-940,6797,0,0,1/1/1990,,,,$0.60 ,8/6/2010,10/8/2016,11/23/1999,
58,FALSE,10126,Caladium (c Goo),ASIDIS,FSI,AV,LB,CS,55,,0,P,12/17/2013,-41,-15,1430,0,0,1/1/1990,,,,,,11/23/1999,11/23/1999,
59,FALSE,10129,Galanga,HUAPRO,FSI,AV,LB,LB,1,,0,P,10/27/2016,-1684,-406,10246,0,0,1/1/1990,,,,$3.00 ,12/13/2003,2/24/2012,11/23/1999
60,FALSE,10130,Yellow Chives (gowon),PACRIM,HAUHAU,AV,LB,LB,1,,0,P,10/25/2016,-18,63,70,0,0,1/1/1990,,,,$4.00 ,5/29/2002,10/8/2016,11/23/1999
61,FALSE,10131,Gobo (burdock Root) Local,MAYUME,,AV,LB,CS,40,,0,P,10/29/2014,-204,14,81,0,0,1/1/1990,,,,$0.74 ,6/7/2002,4/15/2011,11/23/1999
62,FALSE,10132,Gobo (burdock Root) Jpn.,FOOCON,FSI,AV,LB,CS,22,,0,P,11/1/2016,545,-246,-284,0,0,1/1/1990,,,,$1.64 ,10/16/2012,8/8/2011,11/23/1999
63,FALSE,10135,Guytoy (ch. Mustard Gr.),FSI,ASIDIS,AV,LB,CS,30,,0,P,11/5/2016,4801,-1730,2675,0,0,1/1/1990,,,,$1.00 ,3/12/2014,4/15/2011,11/23/1999
64,FALSE,10138,Korean Cucumber (lrg. Box),CHOFAR,KORFAR,SVSU,LB,CS,40,,0,P,,0,10,0,0,0,1/1/1990,,,,$0.70 ,6/29/2002,11/23/1999,11/23/1999
65,FALSE,10140,Guylon (chinese Broccoli),HAUHAU,FSI,AV,LB,CS,30,,0,P,11/5/2016,25161,-4656,20313,0,0,1/1/1990,,,,$1.12 ,7/20/2016,6/24/2013,11/23/1999
66,FALSE,10141,Guylon (local),TUSONG,,SVS,LB,CS,25,,0,P,7/5/2016,-411,60,1226,0,0,1/1/1990,,,,$0.93 ,8/19/2003,6/11/2015,11/23/1999
67,FALSE,10142,Kaiware (radish Sprouts),FSI,,AV,EA,CS,12,,0,P,9/6/2016,-195660,-4545,54189,0,0,1/1/1990,,,,$0.80 ,12/13/2003,12/14/2012,11/23/1999
68,FALSE,10143,Korean Cucumber,CHOFAR,MOUVIL,AV,LB,CS,40,,0,P,11/2/2015,3275,100,-2880,0,0,1/1/1990,,,,$0.80 ,10/6/2003,8/29/2003,11/23/1999
69,FALSE,10144,Kabocha,FSI,,AV,LB,LB,1,,0,P,11/3/2016,-208286,-70216,110484,0,0,1/1/1990,,,,$0.44 ,11/17/2003,8/12/2014,11/23/1999
70,FALSE,10145,Lemon Grass,HAUHAU,VIBMIN,AV,LB,CS,40,,0,P,11/1/2016,-28113,779,200851,0,0,1/1/1990,,,,$2.24 ,8/11/2016,7/21/2015,11/23/1999
71,FALSE,10146,Japanese Cucumber,FSI,,AV,LB,CS,10,,0,P,11/5/2016,-4307,-1402,4538,0,0,1/1/1990,,,,$2.00 ,5/23/2013,9/17/2015,11/23/1999
72,FALSE,10147,Japanese Negi,UWAJIM,FSI,AV,BU,CS,24,,0,P,11/1/2016,132,-61,-784,0,0,1/1/1990,,,,$40.00 ,8/5/2003,12/16/2013,11/23/1999
73,FALSE,10148,Lychee,GOLINT,,AF,LB,CS,22,,0,P,9/8/2006,80,45,3,0,0,1/1/1990,,,,$1.11 ,7/31/2003,4/15/2011,11/23/1999
74,FALSE,10149,Japanese Cucumber Lrg. Box,,,SVSU,LB,CS,25,,0,P,,-18,0,0,0,0,1/1/1990,,,,$1.10 ,5/16/2001,5/16/2001,11/23/1999
75,FALSE,10150,Lime Leaf,FSI,ASIDIS,AV,LB,LB,1,,0,P,11/4/2016,-697,122,8923,0,0,1/1/1990,,,,$20.00 ,12/10/2003,4/15/2011,11/23/1999
76,FALSE,10152,Hontoy,FSI,HAUHAU,AV,BU,CS,12,,0,P,7/29/2003,0,0,2,0,0,1/1/1990,,,,$0.04 ,7/29/2003,4/15/2011,11/23/1999
